SITE_HISTORY_PK,SH_SITE_ID,SH_BASIN,SH_LOCATION,SH_RIVMILE,SH_OLD_SITE_ID,SH_PREV_NAME,SH_STATION,SH_OLD_RIBS_ID,SH_DESC,SH_CITY_TOWN,SH_LATITUDE,SH_LONGITUDE,SH_COUNTY,SH_FIPS_CDE,SH_NAME,SH_HUC_8,SH_NHD_REACHCODE,SH_NHD_M_VALUE,SH_WQ_STANDARD,SH_DEC_REGION,SH_PWL_ID,SH_WIN,SH_HABITAT_TYPE,SH_SITE_CONDITION,SH_DRAINAGE,SH_NED10_ELEV,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
,01-BEAM-0.1,01,BEAM,0.1,2361,,01,,80 m below rte 78.,Java,42.672040,-78.436860,Wyoming,121,Beaver Meadow Creek,04120103,,,C(T),9,0103-0004,E-1-55,,,29.89,319.1709,,,,
,01-BELS-2.7,01,BELS,2.7,3331,BELS-01 (pre-2017),01,,30 m below sr 76 culvert.,Ripley,42.244720,-79.697240,Chautauqua,013,Belson Creek,04120101,,,C,9,0105-0003,E-96-3,,,15.29,343.8767,,,,
,01-BELS_T5-0.6,01,BELS_T5,0.6,42674988,TBEL-0.6 (pre-2017),0.6,,welch hill rd.,Ripley,42.244911,-79.673637,Chautauqua,013,Unnamed Tributary To Belson Creek,04120101,,,A,9,0105-0031,Ont 158..E-96- 3,,,,416.9349,,,,
,01-BERG-1.3,01,BERG,1.3,1457,BERG-01 (pre-2017),01,,10 m above williams rd. bridge.,Wheatfield,43.092390,-78.940730,Niagara,063,Bergholtz Creek,04120104,,,C,9,0101-0004,ONT-158-8-1,,,42.58,173.7971,,,,
,01-BEVC-1.1,01,BEVC,1.1,2363,,01,,at west middle rd. bridge. just past airport.,Sheridan,42.501870,-79.268300,Chautauqua,013,Beaver Creek,04120101,,,C,9,0105-0016,E-31,,,18.22,197.958,,,,
,01-BIND-1.9,01,BIND,1.9,2364,,01,,20 m above wardtown rd. bridge.,Perrysburg,42.511830,-79.043300,Cattaraugus,009,Big Indian Creek,04120102,,,C,9,0104-0073,E-23-5,,,9.76,260.9254,,,,
,01-BLAS-0.1,01,BLAS,0.1,3381,BLAS-01 (pre-2017),01,,50 m upstream of lake erie; woodlawn beach state park.,Hamburg,42.798240,-78.854860,Erie,029,Blasdell Creek,04120103,,,,9,0104-0038,E-2a,,,,173.8349,,,,
,01-BLKE-0.1,01,BLKE,0.1,1424,BLKE-01 (pre-2016),01,,smith rd. bridge.,Amherst,43.050130,-78.711800,Erie,029,Black Creek,04120104,,,C,9,0102-0004,ONT-158-12-6-3,,,38.75,174.551,,,,
,01-BMAN-0.3,01,BMAN,0.3,1425,BMAN-01 (pre-2016),01,,10 m below rapids rd. bridge.,Clarence,43.069470,-78.597660,Erie,029,Beeman Creek,04120104,,,C,9,0102-0030,ONT-158-12-9,,,41.67,176.1384,,,,
,01-BOUR-0.4,01,BOUR,0.4,2368,BOUR-01 (pre-2016),01,01053400,rte 5 bridge.,Westfield,42.357060,-79.551500,Chautauqua,013,Bourne Creek,04120101,,,C,9,0105-0024,E-61,,,7.93,187.351,,,,
,01-BOWE-5.2,01,BOWE,5.2,1435,BOWE-01 (pre-2016),01,,pike rd. bridge.,Alexander,42.956350,-78.257960,Genesee,037,Bowen Creek,04120104,,,C,8,0102-0036,ONT-158-12-28,,,22.04,272.5217,,,,
